E2F5,DEK
E2F5,DENR
E2F5,DHX30
E2F5,DHX9
E2F5,DNMT1
E2F5,DTL
E2F5,E2F1
E2F5,EFCAB7
E2F5,FUS
E2F5,GALNT11
E2F5,GINS1
E2F5,GMNN
E2F5,GON4L
E2F5,GPAA1
E2F5,GTF3C2
E2F5,HAT1
E2F5,HMGA1
E2F5,IGF2
E2F5,IGFBP3
E2F5,KDM6A
E2F5,KIAA1143
E2F5,KLHDC3
E2F5,LHX2
E2F5,LOXL2
E2F5,LRRC4C
E2F5,MCM10
E2F5,MCM3
E2F5,MCM6
E2F5,MEPCE
E2F5,METTL15
E2F5,MRPL24
E2F5,MRPL49
E2F5,MRTO4
E2F5,MSH3
E2F5,MSH6
E2F5,MYC
E2F5,MYOZ3
E2F5,MZT1
E2F5,N4BP2L1
E2F5,NIPBL
E2F5,NPY1R
E2F5,NSF
E2F5,NSFL1C
E2F5,NUP153
E2F5,OTUD7B
E2F5,PABPC1
E2F5,PHYHIPL
E2F5,PRRC2C
E2F5,PTBP3
E2F5,PTPRB
E2F5,PXMP2
E2F5,RBM22
E2F5,RBM28
E2F5,RPL15
E2F5,RPL29
E2F5,RPS20
E2F5,RUSC1
E2F5,SAP30L
E2F5,SDC1
E2F5,SETD2
E2F5,SHB
E2F5,SLC16A2
E2F5,SLC25A20
E2F5,SLC39A14
E2F5,SMAD2
E2F5,SMAD3
